"Reference","Value","Footprint","Qty"
"C1,C2","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2"
"C3,C4,C5,C6","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","4"
"D1","SB140+","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"D2","SB140-","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"J0","Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1"
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22","TS_Jack_6.35mm_Sw","SynthStuff:CUI_MJ-63052A","22"
"J50,J60","Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","2"
"J100","IDC_02x05","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_Eurorack","1"
"J200","BackBone_Connector_6pin","SynthStuff:IDC-Header_2x03_P2.54mm_Vertical_BackBone","1"
"R1,R2,R4,R5","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"R3,R6","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2"
"RV1,RV2","100k","SynthStuff:Potentiometer_TT_P110KH1","2"
"U1","TL072","Package_DIP:DIP-8_W7.62mm_Socket","1"
